,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-01-20,2.4,1.2,0.8,1.7,1.2,0.4,0.8,0.2,0.9,2.5,1.7,0.4,1.1,2.0,1.7,0.1,-999,1.7,1.3,1.8,1.1,1.1,0.7,0.7
2021-06-01-21,1.4,1.2,0.8,1.6,0.7,1.5,0.7,0.7,0.8,0.8,1.4,0.6,1.2,0.7,1.4,1.2,-999,1.4,0.9,0.5,1.7,0.6,1.3,0.5
2021-06-01-22,2.4,1.5,1.5,1.7,0.6,1.1,0.0,1.1,0.1,1.0,1.4,0.6,1.0,0.8,1.1,1.4,-999,1.2,1.3,1.4,1.2,0.6,0.8,0.4
2021-06-01-23,1.7,1.2,0.9,1.6,1.4,1.0,0.4,0.7,0.7,0.7,1.3,0.4,0.7,1.2,0.8,1.6,-999,0.9,2.2,1.5,1.3,0.1,0.6,1.6
2021-06-01-24,1.6,1.7,0.8,2.4,1.1,1.9,1.8,0.9,1.7,0.2,2.8,1.1,0.7,2.9,1.3,0.4,-999,0.9,1.0,1.1,0.8,0.8,0.5,1.4
2021-06-02-01,2.7,1.4,0.7,1.4,0.7,2.9,0.7,0.9,0.9,1.1,2.4,0.2,1.9,3.2,0.3,0.9,-999,1.8,2.2,1.5,0.7,0.6,1.8,1.1
2021-06-02-02,1.6,1.4,1.1,1.4,1.2,2.1,1.0,1.0,0.6,0.9,2.1,0.7,2.2,1.9,0.8,1.1,-999,1.9,2.1,1.9,0.7,0.5,1.5,0.8
2021-06-02-03,0.6,2.3,1.0,2.3,0.8,0.3,0.7,1.0,1.5,1.0,2.3,0.2,1.5,0.3,0.9,0.4,-999,1.4,1.2,1.2,1.1,1.4,0.9,1.4
2021-06-02-04,1.6,1.1,1.6,1.8,1.0,0.3,1.2,0.9,1.7,2.1,2.2,0.4,1.8,0.6,0.5,1.4,-999,2.6,1.4,1.5,1.1,1.0,1.3,1.6
2021-06-02-05,1.2,1.7,1.0,1.8,0.9,1.4,0.9,0.7,0.5,2.1,1.9,0.6,3.2,0.6,2.5,0.3,-999,1.0,1.3,1.8,0.4,1.5,1.8,0.4
2021-06-02-06,1.1,1.4,0.7,1.4,0.9,1.8,0.1,1.1,1.3,2.3,3.5,0.3,2.0,1.2,0.9,1.0,-999,1.0,1.8,1.9,1.0,1.9,1.6,0.7
2021-06-02-07,1.1,1.4,0.9,3.6,0.4,1.8,0.5,0.4,0.2,0.0,1.9,0.5,1.7,0.8,0.8,0.3,-999,0.3,2.9,2.3,0.5,0.8,0.6,0.7
2021-06-02-08,1.3,1.3,0.5,0.8,0.5,3.0,0.0,0.2,1.2,1.9,4.2,1.4,0.2,0.7,0.6,2.7,-999,0.3,2.9,3.1,0.7,1.9,0.6,1.4
2021-06-02-09,2.6,1.1,0.8,2.5,0.4,4.6,0.2,0.8,1.5,2.2,3.7,2.0,2.0,1.0,0.9,2.2,-999,0.4,3.5,3.6,0.7,2.9,0.7,2.3
2021-06-02-10,2.4,1.2,1.1,2.0,0.8,3.9,0.9,2.1,1.6,2.6,1.8,2.0,3.7,1.2,1.2,3.4,-999,0.6,3.2,3.8,1.6,3.0,0.6,2.7
2021-06-02-11,1.8,1.3,0.9,1.7,0.5,5.1,1.1,2.0,2.5,3.2,5.3,2.2,2.8,1.4,1.4,4.0,-999,0.2,3.7,3.9,1.3,3.5,0.2,2.6
2021-06-02-12,2.8,1.1,1.7,4.7,1.7,5.7,1.0,2.7,3.3,4.3,6.8,2.0,2.7,0.9,1.5,3.8,-999,0.6,3.9,5.2,1.5,3.3,0.2,3.0
2021-06-02-13,1.8,1.6,1.9,3.9,1.3,4.0,1.6,2.3,3.3,4.7,6.9,1.5,2.8,1.1,2.3,3.0,-999,0.4,4.3,5.5,1.7,3.5,0.4,3.4
