,北京,上海,福州,廈門
2019-01-03-05,119.0,61.0,14.0,15.0
2019-01-03-06,107.0,61.0,14.0,20.0
2019-01-03-07,82.0,66.0,14.0,12.0
2019-01-03-08,83.0,70.0,22.0,13.0
2019-01-03-09,90.0,68.0,29.0,11.0
2019-01-03-10,101.0,63.0,27.0,19.0
2019-01-03-11,112.0,55.0,27.0,19.0
2019-01-03-12,119.0,50.0,19.0,19.0
2019-01-03-13,131.0,46.0,17.0,20.0
2019-01-03-14,145.0,49.0,21.0,21.0
2019-01-03-15,155.0,48.0,23.0,22.0
2019-01-03-16,154.0,50.0,22.0,23.0
2019-01-03-17,149.0,52.0,21.0,25.0
2019-01-03-18,162.0,55.0,22.0,30.0
2019-01-03-19,165.0,57.0,24.0,32.0
2019-01-03-20,166.0,55.0,24.0,29.0
2019-01-03-21,167.0,44.0,21.0,21.0
2019-01-03-22,173.0,38.0,16.0,19.0
2019-01-03-23,167.0,29.0,13.0,18.0
2019-01-04-00,168.0,25.0,15.0,14.0
2019-01-04-01,122.0,19.0,21.0,16.0
2019-01-04-02,72.0,16.0,22.0,15.0
2019-01-04-03,52.0,14.0,22.0,9.0
2019-01-04-04,34.0,11.0,17.0,19.0
2019-01-04-05,32.0,13.0,16.0,19.0
2019-01-04-06,32.0,15.0,14.0,22.0
2019-01-04-07,39.0,23.0,18.0,35.0
2019-01-04-08,48.0,26.0,22.0,36.0
2019-01-04-09,50.0,26.0,27.0,44.0
2019-01-04-10,53.0,27.0,34.0,64.0
2019-01-04-11,53.0,22.0,29.0,64.0
2019-01-04-12,33.0,16.0,29.0,66.0
2019-01-04-13,25.0,17.0,22.0,53.0
2019-01-04-14,19.0,17.0,24.0,36.0
2019-01-04-15,21.0,15.0,30.0,30.0
2019-01-04-16,25.0,15.0,38.0,47.0
2019-01-04-17,23.0,20.0,46.0,52.0
2019-01-04-18,31.0,28.0,59.0,42.0
2019-01-04-19,36.0,27.0,71.0,44.0
2019-01-04-20,36.0,26.0,86.0,49.0
2019-01-04-21,37.0,30.0,99.0,40.0
2019-01-04-22,37.0,37.0,98.0,34.0
2019-01-04-23,32.0,36.0,96.0,31.0
2019-01-05-00,30.0,37.0,86.0,27.0
2019-01-05-01,27.0,33.0,83.0,31.0
2019-01-05-02,25.0,-999.0,81.0,23.0
2019-01-05-03,24.0,32.0,80.0,22.0
2019-01-05-04,18.0,39.0,60.0,14.0
2019-01-05-05,17.0,38.0,58.0,31.0
2019-01-05-06,22.0,26.0,-999.0,31.0
2019-01-05-07,24.0,-999.0,-999.0,40.0
2019-01-05-08,23.0,14.0,32.0,45.0
2019-01-05-09,23.0,24.0,24.0,48.0
2019-01-05-10,22.0,28.0,26.0,40.0
2019-01-05-11,20.0,10.0,28.0,39.0
2019-01-05-12,15.0,15.0,28.0,47.0
2019-01-05-13,15.0,19.0,23.0,66.0
2019-01-05-14,15.0,25.0,13.0,72.0
