,北京,上海,福州,廈門
2019-01-03-03,45.67,24.43,12.74,7.97
2019-01-03-04,44.07,25.49,12.74,7.97
2019-01-03-05,41.42,28.14,11.68,14.34
2019-01-03-06,37.7,31.33,12.21,11.15
2019-01-03-07,35.58,33.98,12.21,12.74
2019-01-03-08,35.05,36.11,14.87,20.18
2019-01-03-09,34.52,36.11,16.99,16.99
2019-01-03-10,36.11,32.39,16.99,19.65
2019-01-03-11,37.17,26.02,14.34,21.24
2019-01-03-12,39.29,21.77,12.21,14.87
2019-01-03-13,39.83,20.18,13.28,11.68
2019-01-03-14,41.95,19.65,14.34,12.74
2019-01-03-15,44.6,20.71,14.87,17.52
2019-01-03-16,46.2,23.36,13.81,14.34
2019-01-03-17,48.32,27.08,14.34,16.99
2019-01-03-18,49.91,31.33,14.34,20.18
2019-01-03-19,50.98,37.17,13.81,19.12
2019-01-03-20,50.98,37.7,13.28,20.18
2019-01-03-21,50.98,37.7,14.34,16.46
2019-01-03-22,50.44,39.29,12.74,16.99
2019-01-03-23,47.79,40.36,12.74,14.87
2019-01-04-00,48.32,36.64,14.34,11.68
2019-01-04-01,39.83,29.2,18.05,9.56
2019-01-04-02,24.96,23.9,20.18,10.09
2019-01-04-03,18.58,16.99,19.12,16.99
2019-01-04-04,12.21,15.4,15.4,21.24
2019-01-04-05,11.68,15.4,13.28,23.36
2019-01-04-06,8.5,18.05,14.34,23.9
2019-01-04-07,8.5,24.96,16.46,24.96
2019-01-04-08,9.03,31.86,17.52,24.43
2019-01-04-09,10.09,33.98,18.58,27.08
2019-01-04-10,9.03,35.58,18.58,29.2
2019-01-04-11,6.9,35.58,16.99,28.67
2019-01-04-12,5.84,32.39,15.4,36.64
2019-01-04-13,5.31,30.27,13.28,27.08
2019-01-04-14,6.37,29.2,15.93,19.65
2019-01-04-15,6.37,30.8,17.52,21.77
2019-01-04-16,7.43,34.52,21.24,31.33
2019-01-04-17,11.68,40.36,27.61,36.64
2019-01-04-18,17.52,42.48,32.39,37.17
2019-01-04-19,20.18,41.95,35.58,38.23
2019-01-04-20,20.18,40.89,33.98,34.52
2019-01-04-21,23.9,40.89,32.92,30.8
2019-01-04-22,22.3,40.36,31.33,27.61
2019-01-04-23,20.18,38.76,28.14,26.02
2019-01-05-00,18.05,37.17,26.55,19.65
2019-01-05-01,18.05,34.52,28.14,18.58
2019-01-05-02,15.93,31.33,26.55,19.65
2019-01-05-03,14.34,29.2,23.9,16.46
2019-01-05-04,14.34,27.61,24.96,19.65
2019-01-05-05,15.4,27.08,24.96,19.12
2019-01-05-06,13.81,27.08,23.9,15.93
2019-01-05-07,16.46,27.61,23.36,15.93
2019-01-05-08,18.05,26.55,23.36,18.58
2019-01-05-09,16.99,24.96,22.83,16.99
2019-01-05-10,13.28,23.9,22.83,16.99
2019-01-05-11,10.62,22.3,22.83,19.12
2019-01-05-12,9.03,22.83,22.83,23.36
2019-01-05-13,9.03,23.36,21.77,27.08
2019-01-05-14,10.09,25.49,19.65,22.83
