,北京,上海,福州,廈門
2019-01-06-05,4.07,32.58,6.62,4.58
2019-01-06-06,3.56,31.56,5.09,2.54
2019-01-06-07,3.05,27.49,5.09,2.54
2019-01-06-08,3.56,23.41,5.09,4.07
2019-01-06-09,2.54,22.4,5.09,5.6
2019-01-06-10,3.56,23.92,7.13,5.6
2019-01-06-11,4.58,24.43,10.18,7.13
2019-01-06-12,5.6,24.43,11.71,11.2
2019-01-06-13,6.62,23.41,13.74,18.32
2019-01-06-14,7.13,20.36,22.4,21.38
2019-01-06-15,7.64,17.31,27.49,19.34
2019-01-06-16,7.13,13.74,25.45,16.8
2019-01-06-17,4.58,10.69,21.89,13.74
2019-01-06-18,3.05,11.71,17.31,13.23
2019-01-06-19,2.54,13.23,17.31,15.27
2019-01-06-20,2.04,11.71,18.32,19.34
2019-01-06-21,2.54,15.78,18.32,15.78
2019-01-06-22,2.54,20.36,19.34,14.76
2019-01-06-23,2.54,22.9,21.38,14.25
2019-01-07-00,2.04,23.41,24.43,16.8
2019-01-07-01,2.04,22.9,23.92,19.85
2019-01-07-02,2.04,21.38,22.9,20.87
2019-01-07-03,2.54,17.82,19.85,18.83
2019-01-07-04,3.56,12.72,20.36,16.8
2019-01-07-05,3.56,14.76,21.38,16.8
2019-01-07-06,4.07,20.36,24.43,16.8
2019-01-07-07,5.09,18.83,21.89,17.31
2019-01-07-08,5.09,14.25,17.31,14.25
2019-01-07-09,9.16,19.34,14.25,13.23
2019-01-07-10,16.8,21.89,12.72,15.78
2019-01-07-11,23.41,22.4,15.27,20.36
2019-01-07-12,26.47,23.92,18.32,23.92
2019-01-07-13,30.03,21.89,19.85,24.43
2019-01-07-14,29.01,17.31,21.38,29.01
2019-01-07-15,28.5,13.74,18.32,30.03
2019-01-07-16,27.49,12.22,18.32,30.03
2019-01-07-17,24.94,17.31,16.29,29.01
2019-01-07-18,18.83,20.87,12.22,24.43
2019-01-07-19,16.29,21.89,7.13,22.4
2019-01-07-20,13.74,27.49,6.62,17.31
2019-01-07-21,16.29,27.49,9.16,12.72
2019-01-07-22,18.32,26.47,7.64,10.18
2019-01-07-23,17.82,25.96,5.09,9.67
2019-01-08-00,20.36,25.96,4.58,9.16
2019-01-08-01,23.92,26.98,4.58,6.62
2019-01-08-02,25.45,28.5,4.07,3.56
2019-01-08-03,28.5,29.52,4.07,2.04
2019-01-08-04,27.49,28.5,4.58,1.53
2019-01-08-05,26.47,24.43,4.58,1.53
2019-01-08-06,24.94,21.89,5.6,1.53
2019-01-08-07,21.89,20.87,8.14,1.53
2019-01-08-08,19.85,18.83,12.22,1.53
2019-01-08-09,22.9,20.87,9.67,4.07
2019-01-08-10,25.96,25.45,10.69,6.11
2019-01-08-11,30.03,26.98,13.23,8.65
2019-01-08-12,32.58,28.5,16.29,12.72
2019-01-08-13,30.54,30.54,19.34,18.32
2019-01-08-14,34.1,34.61,19.34,22.4
2019-01-08-15,35.12,37.67,19.34,23.41
2019-01-08-16,33.59,42.76,18.32,25.45
2019-01-08-17,30.03,48.36,18.83,25.45
