,北京,上海,福州,廈門
2019-01-16-10,32.0,28.0,12.0,13.0
2019-01-16-11,29.0,27.0,11.0,13.0
2019-01-16-12,27.0,26.0,11.0,14.0
2019-01-16-13,27.0,28.0,14.0,16.0
2019-01-16-14,26.0,30.0,15.0,15.0
2019-01-16-15,25.0,33.0,16.0,15.0
2019-01-16-16,24.0,36.0,19.0,14.0
2019-01-16-17,29.0,40.0,23.0,14.0
2019-01-16-18,34.0,40.0,22.0,13.0
2019-01-16-19,51.0,43.0,24.0,12.0
2019-01-16-20,52.0,43.0,25.0,10.0
2019-01-16-21,57.0,44.0,24.0,10.0
2019-01-16-22,64.0,47.0,24.0,9.0
2019-01-16-23,69.0,48.0,26.0,9.0
2019-01-17-00,67.0,48.0,29.0,9.0
2019-01-17-01,64.0,49.0,32.0,10.0
2019-01-17-02,63.0,50.0,33.0,9.0
2019-01-17-03,52.0,54.0,31.0,13.0
2019-01-17-04,44.0,58.0,29.0,26.0
2019-01-17-05,34.0,60.0,29.0,30.0
2019-01-17-06,28.0,64.0,28.0,39.0
2019-01-17-07,26.0,67.0,26.0,42.0
2019-01-17-08,26.0,71.0,24.0,44.0
2019-01-17-09,29.0,77.0,25.0,45.0
2019-01-17-10,28.0,77.0,20.0,43.0
2019-01-17-11,25.0,80.0,21.0,42.0
2019-01-17-12,20.0,81.0,22.0,42.0
2019-01-17-13,23.0,78.0,23.0,41.0
2019-01-17-14,22.0,73.0,25.0,40.0
2019-01-17-15,25.0,72.0,33.0,42.0
2019-01-17-16,29.0,72.0,33.0,38.0
2019-01-17-17,35.0,74.0,35.0,33.0
2019-01-17-18,42.0,85.0,35.0,26.0
2019-01-17-19,57.0,89.0,39.0,27.0
2019-01-17-20,70.0,103.0,41.0,31.0
2019-01-17-21,77.0,105.0,41.0,32.0
2019-01-17-22,85.0,104.0,42.0,33.0
2019-01-17-23,88.0,103.0,37.0,36.0
2019-01-18-00,90.0,100.0,31.0,38.0
2019-01-18-01,79.0,96.0,30.0,36.0
2019-01-18-02,69.0,95.0,31.0,33.0
2019-01-18-03,65.0,96.0,34.0,27.0
2019-01-18-04,58.0,99.0,36.0,24.0
2019-01-18-05,61.0,97.0,37.0,23.0
2019-01-18-06,60.0,98.0,39.0,24.0
2019-01-18-07,59.0,98.0,39.0,25.0
2019-01-18-08,58.0,101.0,38.0,26.0
2019-01-18-09,59.0,107.0,35.0,26.0
2019-01-18-10,65.0,108.0,34.0,27.0
2019-01-18-11,64.0,103.0,32.0,23.0
2019-01-18-12,62.0,95.0,32.0,24.0
2019-01-18-13,55.0,89.0,32.0,23.0
2019-01-18-14,52.0,78.0,31.0,26.0
2019-01-18-15,54.0,62.0,30.0,26.0
2019-01-18-16,58.0,57.0,28.0,26.0
2019-01-18-17,70.0,64.0,27.0,25.0
2019-01-18-18,76.0,63.0,30.0,26.0
2019-01-18-19,76.0,65.0,33.0,27.0
2019-01-18-20,83.0,69.0,38.0,26.0
2019-01-18-21,81.0,63.0,37.0,27.0
2019-01-18-22,81.0,58.0,37.0,30.0
2019-01-18-23,63.0,55.0,38.0,30.0
2019-01-19-00,30.0,52.0,37.0,29.0
2019-01-19-01,18.0,48.0,37.0,29.0
2019-01-19-02,13.0,43.0,36.0,35.0
2019-01-19-03,8.0,43.0,36.0,43.0
2019-01-19-04,8.0,46.0,31.0,38.0
2019-01-19-05,7.0,44.0,32.0,44.0
2019-01-19-06,8.0,47.0,34.0,48.0
2019-01-19-07,7.0,48.0,33.0,54.0
2019-01-19-08,7.0,48.0,33.0,49.0
2019-01-19-09,9.0,54.0,36.0,51.0
2019-01-19-10,10.0,57.0,35.0,48.0
2019-01-19-11,12.0,60.0,30.0,38.0
2019-01-19-12,10.0,71.0,27.0,30.0
2019-01-19-13,11.0,78.0,26.0,29.0
2019-01-19-14,11.0,85.0,22.0,30.0
2019-01-19-15,10.0,91.0,21.0,30.0
2019-01-19-16,11.0,89.0,22.0,27.0
2019-01-19-17,14.0,92.0,24.0,26.0
2019-01-19-18,14.0,97.0,24.0,26.0
2019-01-19-19,18.0,109.0,25.0,26.0
2019-01-19-20,19.0,117.0,29.0,26.0
2019-01-19-21,17.0,118.0,32.0,28.0
2019-01-19-22,12.0,117.0,33.0,27.0
2019-01-19-23,9.0,123.0,36.0,27.0
2019-01-20-00,5.0,132.0,40.0,30.0
2019-01-20-01,6.0,140.0,42.0,35.0
2019-01-20-02,6.0,151.0,44.0,38.0
2019-01-20-03,5.0,156.0,44.0,39.0
2019-01-20-04,6.0,153.0,41.0,45.0
2019-01-20-05,5.0,136.0,39.0,52.0
2019-01-20-06,5.0,115.0,39.0,65.0
2019-01-20-07,7.0,130.0,38.0,67.0
2019-01-20-08,7.0,146.0,43.0,69.0
2019-01-20-09,6.0,150.0,48.0,73.0
2019-01-20-10,7.0,144.0,53.0,52.0
2019-01-20-11,6.0,136.0,58.0,46.0
2019-01-20-12,5.0,125.0,63.0,47.0
2019-01-20-13,8.0,118.0,69.0,43.0
2019-01-20-14,9.0,110.0,68.0,49.0
2019-01-20-15,9.0,82.0,59.0,50.0
2019-01-20-16,7.0,43.0,58.0,52.0
2019-01-20-17,8.0,23.0,54.0,52.0
2019-01-20-18,10.0,16.0,48.0,56.0
2019-01-20-19,14.0,16.0,42.0,62.0
2019-01-20-20,15.0,15.0,42.0,61.0
2019-01-20-21,15.0,16.0,44.0,57.0
2019-01-20-22,28.0,17.0,47.0,62.0
2019-01-20-23,34.0,15.0,46.0,57.0
2019-01-21-00,36.0,17.0,48.0,57.0
2019-01-21-01,37.0,20.0,68.0,64.0
2019-01-21-02,38.0,19.0,84.0,64.0
2019-01-21-03,33.0,19.0,95.0,61.0
2019-01-21-04,23.0,20.0,97.0,64.0
2019-01-21-05,14.0,24.0,97.0,65.0
2019-01-21-06,14.0,28.0,96.0,68.0
2019-01-21-07,14.0,32.0,90.0,73.0
2019-01-21-08,16.0,37.0,85.0,76.0
2019-01-21-09,16.0,39.0,83.0,76.0
2019-01-21-10,15.0,42.0,77.0,53.0
2019-01-21-11,14.0,40.0,72.0,48.0
2019-01-21-12,14.0,40.0,65.0,46.0
2019-01-21-13,11.0,45.0,68.0,42.0
2019-01-21-14,10.0,50.0,63.0,38.0
2019-01-21-15,14.0,52.0,62.0,40.0
2019-01-21-16,15.0,54.0,61.0,39.0
2019-01-21-17,20.0,58.0,61.0,27.0
2019-01-21-18,29.0,57.0,60.0,34.0
2019-01-21-19,33.0,60.0,64.0,49.0
2019-01-21-20,35.0,68.0,63.0,60.0
2019-01-21-21,40.0,71.0,61.0,59.0
2019-01-21-22,41.0,71.0,60.0,51.0
2019-01-21-23,45.0,73.0,65.0,54.0
2019-01-22-00,45.0,77.0,70.0,55.0
2019-01-22-01,44.0,79.0,72.0,60.0
2019-01-22-02,48.0,81.0,73.0,63.0
2019-01-22-03,35.0,82.0,73.0,61.0
